advice,pe,prev_rev_yoy,prev_eps,gm,prev_year,eps_yoy,price,om,eps,prev_eps_yoy,name,symbol,date,expansion,rev_yoy,est_price,status
⚠️ 追價風險,157.85714558142843,-4.25,-0.29,N/A,2025,366.67,11.0500001907,N/A,0.28,-125.22,成霖,9934.TW,2026-03,152.34,214.33,1.050000000000001,🔄 轉虧為盈
⚠️ 追價風險,29.302325581395337,7.13,1.09,N/A,2025,323.08,63.0,N/A,1.1,-77.02,六角,2732.TWO,2026-03,142.32,180.76,32.250000000000014,🚀 利潤擴張
✅ 穩健價值,14.196567862714508,5.8,2.88,N/A,2025,442.11,91.0,N/A,1.03,-38.68,醫揚,6569.TWO,2026-03,134.17000000000002,307.94,96.15,🚀 利潤擴張
⚪ 中性觀察,20.105820105820108,17.09,2.35,N/A,2025,406.45,114.0,N/A,1.57,921.74,凌華,6166.TW,2026-03,133.17000000000002,273.28,85.05,🚀 利潤擴張
⚠️ 追價風險,255.7377049180328,82.29,4.66,54.76%,2025,645.65,3120.0,41.27%,3.44,884.75,聯亞,3081.TWO,2026-03,130.47000000000003,515.18,183.0,🏰 高護城河
💎 強力關注,5.440279121700087,-14.96,6.21,N/A,2025,228.49,62.4000015259,N/A,2.21,-20.59,奇偶,3356.TW,2026-03,115.32000000000001,113.17,172.05,🚀 利潤擴張
⚪ 數據不足,0.0,-4.81,0.33,N/A,2025,383.33,60.7999992371,N/A,0.29,-84.51,美達科技,6735.TWO,2026-03,114.74000000000001,268.59,-7.200000000000001,🚀 利潤擴張
⚪ 數據不足,0.0,-7.78,-1.63,102.69%,2025,87.5,6.7399997711,-12.62%,-0.02,-365.71,益航,2601.TW,2026-03,109.06,-21.56,-33.6,🏰 高護城河
⚠️ 追價風險,55.621301775147934,-5.33,1.73,N/A,2025,270.0,188.0,N/A,0.37,-45.51,暉盛-創,7730.TW,2026-03,108.44,161.56,50.699999999999996,🚀 利潤擴張
⚪ 數據不足,0.0,-16.81,2.15,N/A,2025,163.46,6.3400001526,N/A,0.66,152.83,麗嬰房,2911.TW,2026-03,96.19000000000001,67.27,-40.05,🚀 利潤擴張
⚠️ 追價風險,26.494251996666666,-7.4,0.43,87.57%,2025,150.0,23.0499992371,12.73%,0.3,-46.91,網龍,3083.TWO,2026-03,92.64,57.36,13.05,🏰 高護城河
✅ 穩健價值,13.787879044747474,14.16,1.39,N/A,2025,1080.0,40.9500007629,N/A,0.49,104.41,青松健康,6931.TW,2026-03,89.48000000000002,990.52,44.550000000000004,🚀 利潤擴張
⚪ 數據不足,0.0,-18.58,-0.84,16.92%,2025,575.0,23.0499992371,-21.33%,0.28,-169.49,宏佳騰,1599.TWO,2026-03,88.79000000000002,486.21,-24.299999999999994,🔄 轉虧為盈
⚪ 數據不足,0.0,0.19,-0.61,28.91%,2025,166.67,63.2000007629,-58.34%,0.06,17.57,中裕,4147.TWO,2026-03,84.69999999999999,81.97,-18.3,🔄 轉虧為盈
💎 強力關注,6.533742097254601,-14.02,2.41,33.66%,2025,186.6,42.5999984741,13.17%,2.78,-51.9,昭輝,1339.TW,2026-03,83.63,102.97,97.8,🚀 利潤擴張
💎 強力關注,11.92307664360806,15.32,3.02,30.84%,2025,392.86,65.0999984741,3.76%,0.7,78.06,偉詮電,2436.TW,2026-03,83.04000000000002,309.82,81.9,🚀 利潤擴張
⚠️ 追價風險,33.16831683168317,-8.83,1.11,N/A,2025,178.26,100.5,N/A,0.64,-50.67,威鋒電子,6756.TW,2026-03,81.14999999999999,97.11,45.449999999999996,🚀 利潤擴張
✅ 穩健價值,13.711539048423079,2.09,1.97,89.44%,2025,136.36,71.3000030518,20.17%,2.34,-64.44,宇峻,3546.TWO,2026-03,74.29000000000002,62.07,77.99999999999999,🏰 高護城河
⚪ 數據不足,0.0,22.72,-1.49,N/A,2025,99.93,83.6999969482,N/A,-0.15,96.29,奧義賽博-KY創,7823.TW,2026-03,73.29,26.64,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,19.25,-2.43,N/A,2025,-25.93,12.3500003815,N/A,-0.68,-99.18,昱泉,6169.TWO,2026-03,71.78,-97.71,-96.44999999999999,🌑 雙重衰退
⚪ 數據不足,0.0,0.63,0.14,N/A,2025,650.0,17.7000007629,N/A,0.3,-91.14,冠好,8354.TWO,2026-03,71.62,578.38,-17.549999999999997,🚀 利潤擴張
⚪ 中性觀察,18.063158537221053,22.56,2.76,25.49%,2025,386.11,85.8000030518,0.20%,1.75,-5.15,台聯電,4905.TWO,2026-03,70.21000000000004,315.9,71.25,🚀 利潤擴張
⚪ 數據不足,0.0,76.4,6.33,N/A,2025,121.74,1755.0,N/A,1.02,44.08,創新服務,7828.TWO,2026-03,69.89999999999999,51.84,0.0,🚀 利潤擴張
💎 強力關注,10.751634485555556,4.6,0.63,90.85%,2025,127.27,16.4500007629,38.94%,0.25,3.28,國票金,2889.TW,2026-03,68.69,58.58,22.95,🏰 高護城河
💎 強力關注,4.661610357403734,-4.63,7.13,82.18%,2025,107.35,79.9000015259,20.98%,1.41,24.43,麗豐-KY,4137.TW,2026-03,67.19999999999999,40.15,257.1,🏰 高護城河
⚪ 數據不足,0.0,-28.72,-0.38,54.59%,2025,175.0,7.3499999046,3.73%,0.06,-31.03,研勤,3632.TWO,2026-03,64.48,110.52,-15.3,🔄 轉虧為盈
⚪ 數據不足,0.0,2.38,2.43,N/A,2025,106.9,41.5,N/A,0.6,-24.06,和迅,6986.TWO,2026-03,63.99000000000001,42.91,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,-7.78,-1.28,31.44%,2025,175.0,30.1000003815,-45.46%,0.11,-184.44,穎漢,4562.TW,2026-03,63.97,111.03,-38.1,🔄 轉虧為盈
⚪ 數據不足,0.0,-29.69,-3.51,93.22%,2025,62.5,18.9500007629,-55.72%,-0.27,-7120.0,泰偉,3064.TWO,2026-03,63.5,-1.0,-122.4,🏰 高護城河
💎 強力關注,4.771386205619469,12.14,2.64,N/A,2025,235.0,32.3499984741,N/A,1.34,17.33,群益證,6005.TW,2026-03,63.21000000000001,171.79,101.7,🚀 利潤擴張
⚠️ 追價風險,46.865671072388075,19.69,0.58,N/A,2025,500.0,31.3999996185,N/A,0.84,152.25,車王電,1533.TW,2026-03,61.81999999999999,438.18,10.049999999999997,🚀 利潤擴張
⚪ 中性觀察,16.733333587666667,-4.85,0.74,20.98%,2025,600.0,25.1000003815,7.12%,0.56,34.55,正隆,1904.TW,2026-03,61.76999999999998,538.23,22.5,🚀 利潤擴張
💎 強力關注,10.079051383399209,-4.59,2.52,N/A,2025,206.45,76.5,N/A,1.9,-26.32,日揚,6208.TWO,2026-03,56.41999999999999,150.03,113.85,🚀 利潤擴張
💎 強力關注,5.1556017389004145,-6.81,1.19,N/A,2025,204.17,24.8500003815,N/A,1.46,-36.9,強生,4747.TWO,2026-03,55.839999999999975,148.33,72.30000000000001,🚀 利潤擴張
⚪ 數據不足,0.0,2.65,-0.6,N/A,2025,244.44,74.6999969482,N/A,0.13,49.15,九暘,8040.TWO,2026-03,55.43000000000001,189.01,-18.45,🔄 轉虧為盈
💎 強力關注,1.6767288275027443,-6.28,12.33,41.95%,2025,239.47,30.5499992371,-106.23%,2.62,905.92,晟德,4123.TWO,2026-03,54.05000000000001,185.42,273.29999999999995,🚀 利潤擴張
⚪ 數據不足,0.0,-29.22,-3.92,N/A,2025,-2.96,74.0,N/A,-1.43,-48.08,心誠鎂,6934.TW,2026-03,52.519999999999996,-55.48,0.0,🌑 雙重衰退
💎 強力關注,7.096199524940618,6.51,6.82,N/A,2025,147.37,119.5,N/A,3.29,66.34,霈方,6574.TWO,2026-03,51.74000000000001,95.63,252.6,🚀 利潤擴張
⚪ 數據不足,0.0,182.72,13.04,N/A,2025,139.49,0.0,N/A,7.68,38.44,永擎,7711.TW,2026-03,47.56,91.93,0.0,🚀 利潤擴張
